match_number,group,kickoff,location,home,away,home_power,away_power,base_diff,home_host,home_travel,home_research,home_context,home_eff,home_factors,away_host,away_travel,away_research,away_context,away_eff,away_factors,diff,ctx_swing,pick,base_pick,pick_flipped,home_pct,draw_pct,away_pct,home_cohost,away_cohost
1,A,2026-06-11T19:00:00+00:00,Mexico City Stadium,Mexico,Zuid-Afrika,77,66,11,3,0,0,3,80,cohost_crowd:+1; home_fixture:+1; host_region:+1,0,0,0,0,66,opener_context:-2; style_matchup:+2,14,3,1,1,False,73,16,11,True,False
2,A,2026-06-12T02:00:00+00:00,Guadalajara Stadium,Zuid-Korea,Tsjechië,70,71,-1,0,0,2,2,72,distinctive_spark:-2; style_matchup:+2; matchup_edge:+2,0,0,0,0,71,-,1,2,3,2,True,32,40,28,False,False
3,B,2026-06-12T19:00:00+00:00,Toronto Stadium,Canada,Bosnië-Herzegovina,72,65,7,3,0,-4,-1,71,cohost_crowd:+1; selection_drama:-2; home_fixture:+1; fixture_story:-2; host_region:+1,0,-2,2,0,65,matchup_edge:+2; away_fixture:-2,6,-1,1,1,False,52,22,26,True,False
4,D,2026-06-13T01:00:00+00:00,Los Angeles Stadium,Verenigde Staten,Paraguay,78,72,6,3,0,0,3,81,cohost_crowd:+1; style_matchup:+2; tactical_weakness:-2; host_region:+2,0,-2,2,0,72,style_matchup:+2; away_fixture:-2,9,3,1,1,False,61,19,20,True,False
5,C,2026-06-14T01:00:00+00:00,Boston Stadium,Haïti,Schotland,60,71,-11,0,0,0,0,60,distinctive_spark:-2; style_matchup:+2,0,0,0,0,71,-,-11,0,2,2,False,14,17,69,False,False
6,D,2026-06-14T04:00:00+00:00,BC Place Vancouver,Australië,Turkije,71,76,-5,0,0,-4,-4,67,squad_load:-4; matchup_edge:+2; tactical_weakness:-2,0,0,4,4,80,style_matchup:+2; matchup_edge:+2,-13,-8,2,2,False,12,16,72,False,False
7,C,2026-06-13T22:00:00+00:00,New York/New Jersey Stadium,Brazilië,Marokko,90,81,9,0,0,-6,-6,84,star_dependency:-2; selection_drama:-2; matchup_risk:-2,0,0,0,0,81,crowd_bias:+2; distinctive_spark:-2; style_matchup:+2; fixture_story:-2,3,-6,3,1,True,33,45,22,False,False
8,B,2026-06-13T19:00:00+00:00,San Francisco Bay Area Stadium,Qatar,Zwitserland,66,79,-13,0,0,0,0,66,distinctive_spark:-2; style_matchup:+2,0,0,2,2,81,matchup_edge:+2,-15,-2,2,2,False,9,16,75,False,False
9,E,2026-06-14T23:00:00+00:00,Philadelphia Stadium,Ivoorkust,Ecuador,74,74,0,0,0,-2,-2,72,matchup_risk:-2,0,0,0,0,74,-,-2,-2,3,3,False,24,43,33,False,False
10,E,2026-06-14T17:00:00+00:00,Houston Stadium,Duitsland,Curaçao,86,59,27,0,0,0,0,86,distinctive_spark:-2; matchup_edge:+2,0,0,0,0,59,distinctive_spark:-2; tactical_strength:+2,27,0,1,1,False,76,16,8,False,False
11,F,2026-06-14T20:00:00+00:00,Dallas Stadium,Nederland,Japan,85,77,8,0,0,-4,-4,81,squad_load:-4; style_matchup:+2; matchup_risk:-2,0,0,2,2,79,style_matchup:+2,2,-6,3,1,True,33,42,25,False,False
12,F,2026-06-15T02:00:00+00:00,Monterrey Stadium,Zweden,Tunesië,75,68,7,0,0,2,2,77,distinctive_spark:-2; style_matchup:+2; matchup_edge:+2,0,0,-2,-2,66,matchup_risk:-2,11,4,1,1,False,66,17,17,False,False
13,H,2026-06-15T22:00:00+00:00,Miami Stadium,Saoedi-Arabië,Uruguay,68,82,-14,0,0,0,0,68,-,0,0,-2,-2,80,distinctive_spark:-2,-12,2,2,2,False,13,16,71,False,False
14,H,2026-06-15T16:00:00+00:00,Atlanta Stadium,Spanje,Kaapverdië,89,60,29,0,0,-4,-4,85,squad_load:-4; opponent_profile_weak:+2; style_matchup:-2,0,0,-6,-6,54,distinctive_spark:-2; tactical_weakness:-2; matchup_risk:-2,31,2,1,1,False,76,16,8,False,False
15,G,2026-06-16T01:00:00+00:00,Los Angeles Stadium,Iran,Nieuw-Zeeland,69,62,7,0,0,4,4,73,style_matchup:+2; matchup_edge:+2,0,0,0,0,62,crowd_bias:-2; matchup_edge:+2,11,4,1,1,False,66,17,17,False,False
16,G,2026-06-15T19:00:00+00:00,Seattle Stadium,België,Egypte,82,70,12,0,0,-6,-6,76,selection_drama:-2; tactical_weakness:-2; opponent_profile_strong:-2,0,0,-2,-2,68,star_dependency:-2; tactical_strength:+2; matchup_risk:-2,8,-4,1,1,False,50,24,26,False,False
17,I,2026-06-16T19:00:00+00:00,New York/New Jersey Stadium,Frankrijk,Senegal,92,77,15,0,0,-4,-4,88,matchup_risk:-2; fixture_story:-2,0,0,-2,-2,75,matchup_risk:-2,13,-2,1,1,False,71,16,13,False,False
18,I,2026-06-16T22:00:00+00:00,Boston Stadium,Irak,Noorwegen,64,75,-11,0,0,-2,-2,62,distinctive_spark:-2; style_matchup:+2; matchup_risk:-2,0,0,-2,-2,73,distinctive_spark:-2; star_dependency:-2; matchup_edge:+2,-11,0,2,2,False,14,17,69,False,False
19,J,2026-06-17T01:00:00+00:00,Kansas City Stadium,Argentinië,Algerije,91,70,21,0,0,0,0,91,crowd_bias:+2; distinctive_spark:-2; opponent_profile_weak:+2; tactical_weakness:-2,0,0,-2,-2,68,star_dependency:-2; opponent_profile_weak:+2; tactical_weakness:-2,23,2,1,1,False,76,16,8,False,False
20,J,2026-06-17T04:00:00+00:00,San Francisco Bay Area Stadium,Oostenrijk,Jordanië,76,62,14,0,0,2,2,78,matchup_edge:+2,0,0,-8,-8,54,distinctive_spark:-2; star_dependency:-2; fixture_narrative:-2; matchup_risk:-2,24,10,1,1,False,76,16,8,False,False
21,L,2026-06-17T23:00:00+00:00,Toronto Stadium,Ghana,Panama,70,61,9,0,0,2,2,72,matchup_edge:+2,0,0,4,4,65,style_matchup:+2; matchup_edge:+2,7,-2,1,1,False,55,21,24,False,False
22,L,2026-06-17T20:00:00+00:00,Dallas Stadium,Engeland,Kroatië,88,82,6,0,0,-2,-2,86,distinctive_spark:-2; style_matchup:+2; matchup_risk:-2,0,0,-4,-4,78,squad_load:-4; style_matchup:+2; matchup_risk:-2,8,2,3,1,True,30,59,11,False,False
23,K,2026-06-17T17:00:00+00:00,Houston Stadium,Portugal,Congo,87,65,22,0,0,-4,-4,83,style_matchup:-2; matchup_risk:-2,0,0,-6,-6,59,distinctive_spark:-2; matchup_risk:-2; style_matchup:-2,24,2,1,1,False,76,16,8,False,False
24,K,2026-06-18T02:00:00+00:00,Mexico City Stadium,Oezbekistan,Colombia,65,80,-15,0,0,-4,-4,61,distinctive_spark:-2; matchup_risk:-2,0,0,-4,-4,76,squad_load:-4; matchup_edge:+2; style_matchup:-2,-15,0,2,2,False,9,16,75,False,False
25,A,2026-06-18T16:00:00+00:00,Atlanta Stadium,Tsjechië,Zuid-Afrika,71,66,5,0,0,0,0,71,-,0,0,2,2,68,style_matchup:+2,3,-2,3,1,True,33,45,22,False,False
26,B,2026-06-18T19:00:00+00:00,Los Angeles Stadium,Zwitserland,Bosnië-Herzegovina,79,65,14,0,0,0,0,79,-,0,0,0,0,65,style_matchup:+2; matchup_risk:-2,14,0,1,1,False,73,16,11,False,False
27,B,2026-06-18T22:00:00+00:00,BC Place Vancouver,Canada,Qatar,72,66,6,3,0,-4,-1,71,cohost_crowd:+1; selection_drama:-2; home_fixture:+1; matchup_risk:-2; host_region:+1,0,-2,0,-2,64,distinctive_spark:-2; style_matchup:+2; away_fixture:-2,7,1,3,1,True,31,56,13,True,False
28,A,2026-06-19T01:00:00+00:00,Guadalajara Stadium,Mexico,Zuid-Korea,77,70,7,3,0,0,3,80,cohost_crowd:+1; home_fixture:+1; host_region:+1,0,-2,0,-2,68,distinctive_spark:-2; style_matchup:+2; away_fixture:-2,12,5,1,1,False,68,16,16,True,False
29,C,2026-06-20T01:00:00+00:00,Philadelphia Stadium,Brazilië,Haïti,90,60,30,0,0,-2,-2,88,star_dependency:-2; selection_drama:-2; matchup_edge:+2,0,0,-2,-2,58,distinctive_spark:-2; style_matchup:+2; matchup_risk:-2,30,0,1,1,False,76,16,8,False,False
30,C,2026-06-19T22:00:00+00:00,Boston Stadium,Schotland,Marokko,71,81,-10,0,0,2,2,73,style_matchup:+2,0,0,2,2,83,crowd_bias:+2; distinctive_spark:-2; style_matchup:+2,-10,0,2,2,False,16,18,66,False,False
31,D,2026-06-20T04:00:00+00:00,San Francisco Bay Area Stadium,Turkije,Paraguay,76,72,4,0,0,2,2,78,style_matchup:+2,0,0,2,2,74,style_matchup:+2,4,0,3,1,True,33,48,19,False,False
32,D,2026-06-19T19:00:00+00:00,Seattle Stadium,Verenigde Staten,Australië,78,71,7,3,0,2,5,83,cohost_crowd:+1; style_matchup:+2; home_fixture:+1; host_region:+1,0,-2,-4,-6,65,squad_load:-4; away_fixture:-2,18,11,1,1,False,76,16,8,True,False
33,E,2026-06-20T20:00:00+00:00,Toronto Stadium,Duitsland,Ivoorkust,86,74,12,0,0,-4,-4,82,distinctive_spark:-2; style_matchup:-2,0,0,-4,-4,70,psychology:-2; matchup_risk:-2,12,0,1,1,False,68,16,16,False,False
34,E,2026-06-21T00:00:00+00:00,Kansas City Stadium,Ecuador,Curaçao,74,59,15,0,0,4,4,78,matchup_edge:+2; style_matchup:+2,0,0,0,0,59,distinctive_spark:-2; matchup_edge:+2,19,4,1,1,False,76,16,8,False,False
35,F,2026-06-20T17:00:00+00:00,Houston Stadium,Nederland,Zweden,85,75,10,0,0,-6,-6,79,squad_load:-4; matchup_risk:-2,0,0,0,0,75,distinctive_spark:-2; style_matchup:+2,4,-6,3,1,True,33,48,19,False,False
36,F,2026-06-21T04:00:00+00:00,Monterrey Stadium,Tunesië,Japan,68,77,-9,0,0,-2,-2,66,matchup_risk:-2,0,0,0,0,77,-,-11,-2,2,2,False,14,17,69,False,False
37,H,2026-06-21T22:00:00+00:00,Miami Stadium,Uruguay,Kaapverdië,82,60,22,0,0,-2,-2,80,distinctive_spark:-2,0,0,-4,-4,56,distinctive_spark:-2; matchup_risk:-2,24,2,1,1,False,76,16,8,False,False
38,H,2026-06-21T16:00:00+00:00,Atlanta Stadium,Spanje,Saoedi-Arabië,89,68,21,0,0,-6,-6,83,squad_load:-4; style_matchup:-2,0,0,-4,-4,64,tactical_weakness:-2; matchup_risk:-2,19,-2,1,1,False,76,16,8,False,False
39,G,2026-06-21T19:00:00+00:00,Los Angeles Stadium,België,Iran,82,69,13,0,0,-4,-4,78,selection_drama:-2; matchup_risk:-2,0,0,0,0,69,style_matchup:+2; matchup_risk:-2,9,-4,1,1,False,61,19,20,False,False
40,G,2026-06-22T01:00:00+00:00,BC Place Vancouver,Nieuw-Zeeland,Egypte,62,70,-8,0,0,-4,-4,58,crowd_bias:-2; matchup_risk:-2,0,0,2,2,72,star_dependency:-2; style_matchup:+2; matchup_edge:+2,-14,-6,2,2,False,10,16,74,False,False
41,I,2026-06-23T00:00:00+00:00,New York/New Jersey Stadium,Noorwegen,Senegal,75,77,-2,0,0,-6,-6,69,distinctive_spark:-2; star_dependency:-2; matchup_risk:-2,0,0,0,0,77,style_matchup:+2; matchup_risk:-2,-8,-6,3,2,True,9,62,29,False,False
42,I,2026-06-22T21:00:00+00:00,Philadelphia Stadium,Frankrijk,Irak,92,64,28,0,0,2,2,94,matchup_edge:+2,0,0,-4,-4,60,distinctive_spark:-2; matchup_risk:-2,34,6,1,1,False,76,16,8,False,False
43,J,2026-06-22T17:00:00+00:00,Dallas Stadium,Argentinië,Oostenrijk,91,76,15,0,0,-4,-4,87,crowd_bias:+2; distinctive_spark:-2; tactical_weakness:-2; style_matchup:-2,0,0,0,0,76,opponent_profile_weak:+2; tactical_weakness:-2,11,-4,1,1,False,66,17,17,False,False
44,J,2026-06-23T03:00:00+00:00,San Francisco Bay Area Stadium,Jordanië,Algerije,62,70,-8,0,0,-4,-4,58,distinctive_spark:-2; star_dependency:-2; style_matchup:+2; fixture_narrative:-2,0,0,0,0,70,star_dependency:-2; matchup_edge:+2,-12,-4,2,2,False,13,16,71,False,False
45,L,2026-06-23T20:00:00+00:00,Boston Stadium,Engeland,Ghana,88,70,18,0,0,-4,-4,84,distinctive_spark:-2; matchup_risk:-2,0,0,0,0,70,style_matchup:+2; matchup_risk:-2,14,-4,1,1,False,73,16,11,False,False
46,L,2026-06-23T23:00:00+00:00,Toronto Stadium,Panama,Kroatië,61,82,-21,0,0,0,0,61,style_matchup:+2; matchup_risk:-2,0,0,-4,-4,78,squad_load:-4; matchup_edge:+2; style_matchup:-2,-17,4,2,2,False,8,16,76,False,False
47,K,2026-06-23T17:00:00+00:00,Houston Stadium,Portugal,Oezbekistan,87,65,22,0,0,4,4,91,matchup_edge:+2; style_matchup:+2,0,0,-4,-4,61,distinctive_spark:-2; matchup_risk:-2,30,8,1,1,False,76,16,8,False,False
48,K,2026-06-24T02:00:00+00:00,Guadalajara Stadium,Colombia,Congo,80,65,15,0,0,-8,-8,72,squad_load:-4; style_matchup:-2; matchup_risk:-2,0,0,-4,-4,61,distinctive_spark:-2; matchup_risk:-2,11,-4,1,1,False,66,17,17,False,False
49,C,2026-06-24T22:00:00+00:00,Miami Stadium,Schotland,Brazilië,71,90,-19,0,0,0,0,71,style_matchup:+2; matchup_risk:-2,0,0,0,0,90,star_dependency:-2; selection_drama:-2; style_matchup:+2; matchup_edge:+2,-19,0,2,2,False,8,16,76,False,False
50,C,2026-06-24T22:00:00+00:00,Atlanta Stadium,Marokko,Haïti,81,60,21,0,0,2,2,83,crowd_bias:+2; distinctive_spark:-2; matchup_edge:+2,0,0,0,0,60,distinctive_spark:-2; style_matchup:+2,23,2,1,1,False,76,16,8,False,False
51,B,2026-06-24T19:00:00+00:00,BC Place Vancouver,Zwitserland,Canada,79,72,7,0,0,-2,-2,77,matchup_risk:-2,3,0,0,3,75,cohost_crowd:+1; selection_drama:-2; style_matchup:+2; host_region:+2,2,-5,3,1,True,33,42,25,False,True
52,B,2026-06-24T19:00:00+00:00,Seattle Stadium,Bosnië-Herzegovina,Qatar,65,66,-1,0,0,0,0,65,style_matchup:+2; matchup_risk:-2,0,0,0,0,66,distinctive_spark:-2; style_matchup:+2,-1,0,3,2,True,28,40,32,False,False
53,A,2026-06-25T01:00:00+00:00,Mexico City Stadium,Tsjechië,Mexico,71,77,-6,0,0,0,0,71,-,3,0,2,5,82,cohost_crowd:+1; style_matchup:+2; host_region:+2,-11,-5,2,2,False,14,17,69,False,True
54,A,2026-06-25T01:00:00+00:00,Monterrey Stadium,Zuid-Afrika,Zuid-Korea,66,70,-4,0,0,0,0,66,-,0,0,0,0,70,distinctive_spark:-2; style_matchup:+2,-4,0,3,2,True,17,50,33,False,False
55,E,2026-06-25T20:00:00+00:00,Philadelphia Stadium,Curaçao,Ivoorkust,59,74,-15,0,0,-2,-2,57,distinctive_spark:-2,0,0,2,2,76,matchup_edge:+2,-19,-4,2,2,False,8,16,76,False,False
56,E,2026-06-25T20:00:00+00:00,New York/New Jersey Stadium,Ecuador,Duitsland,74,86,-12,0,0,-2,-2,72,matchup_risk:-2,0,0,-4,-4,82,distinctive_spark:-2; style_matchup:-2,-10,2,2,2,False,16,18,66,False,False
57,F,2026-06-25T23:00:00+00:00,Dallas Stadium,Japan,Zweden,77,75,2,0,0,-2,-2,75,matchup_risk:-2,0,0,-2,-2,73,distinctive_spark:-2; style_matchup:+2; tactical_weakness:-2,2,0,3,1,True,33,42,25,False,False
58,F,2026-06-25T23:00:00+00:00,Kansas City Stadium,Tunesië,Nederland,68,85,-17,0,0,2,2,70,style_matchup:+2,0,0,-2,-2,83,squad_load:-4; matchup_edge:+2,-13,4,2,2,False,12,16,72,False,False
59,D,2026-06-26T02:00:00+00:00,Los Angeles Stadium,Turkije,Verenigde Staten,76,78,-2,0,0,2,2,78,style_matchup:+2,3,0,2,5,83,cohost_crowd:+1; style_matchup:+2; host_region:+2,-5,-3,3,2,True,15,53,32,False,True
60,D,2026-06-26T02:00:00+00:00,San Francisco Bay Area Stadium,Paraguay,Australië,72,71,1,0,0,0,0,72,style_matchup:+2; matchup_risk:-2,0,0,-4,-4,67,squad_load:-4,5,4,3,1,True,32,51,17,False,False
61,I,2026-06-26T19:00:00+00:00,Boston Stadium,Noorwegen,Frankrijk,75,92,-17,0,0,-6,-6,69,distinctive_spark:-2; star_dependency:-2; matchup_risk:-2,0,0,0,0,92,style_matchup:+2; matchup_risk:-2,-23,-6,2,2,False,8,15,77,False,False
62,I,2026-06-26T19:00:00+00:00,Toronto Stadium,Senegal,Irak,77,64,13,0,0,2,2,79,matchup_edge:+2,0,0,0,0,64,distinctive_spark:-2; style_matchup:+2,15,2,1,1,False,75,16,9,False,False
63,G,2026-06-27T03:00:00+00:00,Seattle Stadium,Egypte,Iran,70,69,1,0,0,0,0,70,star_dependency:-2; style_matchup:+2,0,0,0,0,69,style_matchup:+2; matchup_risk:-2,1,0,3,1,True,32,40,28,False,False
64,G,2026-06-27T03:00:00+00:00,BC Place Vancouver,Nieuw-Zeeland,België,62,82,-20,0,0,-2,-2,60,crowd_bias:-2; style_matchup:+2; matchup_risk:-2,0,0,0,0,82,selection_drama:-2; style_matchup:+2,-22,-2,2,2,False,8,15,77,False,False
65,H,2026-06-27T00:00:00+00:00,Houston Stadium,Kaapverdië,Saoedi-Arabië,60,68,-8,0,0,-2,-2,58,distinctive_spark:-2,0,0,2,2,70,matchup_edge:+2,-12,-4,2,2,False,13,16,71,False,False
66,H,2026-06-27T00:00:00+00:00,Guadalajara Stadium,Uruguay,Spanje,82,89,-7,0,0,-6,-6,76,distinctive_spark:-2; tactical_weakness:-2; matchup_risk:-2,0,0,-4,-4,85,squad_load:-4; opponent_profile_weak:+2; style_matchup:-2,-9,-2,2,2,False,17,19,64,False,False
67,L,2026-06-27T21:00:00+00:00,New York/New Jersey Stadium,Panama,Engeland,61,88,-27,0,0,0,0,61,style_matchup:+2; matchup_risk:-2,0,0,0,0,88,distinctive_spark:-2; matchup_edge:+2,-27,0,2,2,False,8,15,77,False,False
68,L,2026-06-27T21:00:00+00:00,Philadelphia Stadium,Kroatië,Ghana,82,70,12,0,0,-6,-6,76,squad_load:-4; matchup_risk:-2,0,0,-2,-2,68,matchup_risk:-2,8,-4,1,1,False,58,20,22,False,False
69,J,2026-06-28T02:00:00+00:00,Kansas City Stadium,Algerije,Oostenrijk,70,76,-6,0,0,-2,-2,68,star_dependency:-2,0,0,0,0,76,style_matchup:+2; matchup_risk:-2,-8,-2,3,2,True,9,62,29,False,False
70,J,2026-06-28T02:00:00+00:00,Dallas Stadium,Jordanië,Argentinië,62,91,-29,0,0,-8,-8,54,distinctive_spark:-2; star_dependency:-2; fixture_narrative:-2; matchup_risk:-2,0,0,2,2,93,crowd_bias:+2; distinctive_spark:-2; matchup_edge:+2,-39,-10,2,2,False,7,15,78,False,False
71,K,2026-06-27T23:30:00+00:00,Miami Stadium,Colombia,Portugal,80,87,-7,0,0,-6,-6,74,squad_load:-4; matchup_risk:-2,0,0,-2,-2,85,matchup_risk:-2,-11,-4,2,2,False,14,17,69,False,False
72,K,2026-06-27T23:30:00+00:00,Atlanta Stadium,Congo,Oezbekistan,65,65,0,0,0,0,0,65,distinctive_spark:-2; matchup_edge:+2,0,0,-2,-2,63,distinctive_spark:-2,2,2,3,3,False,33,42,25,False,False
